账号,用户,密码,确认密码,正确数据
LIAng@qq.com,LIAngliangLIAngliang,liangl,liangl
LIang@126.com,LIanglianglianglian,liangliangliangliangliangliangli,liangliangliangliangliangliangli
liang@sina.com,li,liang@,liang@
liang@163.com,lia,liangl,liangl
liang5@163.com,啊liang,liangl,liangl
liang6@163.com,liang2,liangl,liangl
liang7@163.com,liang_,liangl,liangl
liang8@163.com,啊liang_2,liangl,liangl
liang9@163.com,啊liang_3,liangl,liangl
liang10@163.com,啊liang_4,liang@,liang@
liang11@163.com,啊liang_5,liang!,liang!
liang12@163.com,啊liang_6,liang$,liang$
liang13@163.com,啊liang_7,LiAng_,LiAng_
错误的邮箱地址
liangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangliangl@qq.com,啊liang_7,LiAng_,LiAng_
liang.com,啊liang_8,LiAng_,LiAng_
liang@,啊liang_9,LiAng_,LiAng_
@qq.com,啊liang_11,LiAng_,LiAng_
lia ng@qq.com,啊liang_12,LiAng_,LiAng_
,啊liang_13, LiAng_, LiAng_
错误的用户名格式
liang13@163.com,l,LiAng_,LiAng_
liang13@163.com,liangliangliangliangl,LiAng_,LiAng_
liang13@163.com,liang@,LiAng_,LiAng_
liang13@163.com,liang~,LiAng_,LiAng_
liang13@163.com,laing!,LiAng_,LiAng_
liang13@163.com,liang#,LiAng_,LiAng_
liang13@163.com,liang$,LiAng_,LiAng_
liang13@163.com,liang%,LiAng_,LiAng_
liang13@163.com,liang^,LiAng_,LiAng_
liang13@163.com,liang&,LiAng_,LiAng_
liang13@163.com,liang*,LiAng_,LiAng_
liang13@163.com,liang a,LiAng_,LiAng_
liang13@163.com,,LiAng_,LiAng_,
错误的设置密码格式
liang13@qq.com,lia,liang,liang
liang14@qq.com,lia,lianglianglianglianglianglianglia,lianglianglianglianglianglianglia
liang15@qq.com,lia,,liangl
liang16@qq.com,lia,liang l,liang l
错误的确认密码格式
liang17@qq.com,lia,liangl
liang18@qq.com,lia,liangl,li
liang19@qq.com,lia,liangl,liangliang
liang20@qq.com,lia,liangl,LIANGL
liang21@qq.com,lia,liangl,liang l
错误的验证码格式
liang22@qq.com,lia,liangl,liangl,abcde
liang23@qq.com,lia,liangl,liangl,aasdjaldjasda
liang23@qq.com,lia,liangl,liangl,dada@
liang25@qq.com,lia,liangl,liangl


























